startzeitpunkt,start_text,endezeitpunkt,ende_text,rus_w_o_s3_lf,rus_w_o_s3_o2,rus_w_o_s3_ph,rus_w_o_s3_te
2025-11-01T17:15:00+01:00,01.11.2025 17:15:00,2025-11-01T17:30:00+01:00,01.11.2025 17:30:00,366.8,10.34,7.97,12.33
2025-11-01T17:30:00+01:00,01.11.2025 17:30:00,2025-11-01T17:45:00+01:00,01.11.2025 17:45:00,366.7,10.33,7.96,12.31
2025-11-01T12:30:00+01:00,01.11.2025 12:30:00,2025-11-01T12:45:00+01:00,01.11.2025 12:45:00,362.0,10.42,7.98,12.33
2025-11-01T12:45:00+01:00,01.11.2025 12:45:00,2025-11-01T13:00:00+01:00,01.11.2025 13:00:00,362.3,10.41,7.98,12.33
2025-11-01T03:15:00+01:00,01.11.2025 03:15:00,2025-11-01T03:30:00+01:00,01.11.2025 03:30:00,359.8,10.45,7.96,12.18
2025-11-01T20:15:00+01:00,01.11.2025 20:15:00,2025-11-01T20:30:00+01:00,01.11.2025 20:30:00,367.2,10.32,7.96,12.27
2025-11-01T02:30:00+01:00,01.11.2025 02:30:00,2025-11-01T02:45:00+01:00,01.11.2025 02:45:00,361.8,10.45,7.96,12.21
2025-11-01T07:45:00+01:00,01.11.2025 07:45:00,2025-11-01T08:00:00+01:00,01.11.2025 08:00:00,361.3,10.42,7.98,12.27
2025-11-01T10:00:00+01:00,01.11.2025 10:00:00,2025-11-01T10:15:00+01:00,01.11.2025 10:15:00,362.1,10.44,7.99,12.33
2025-11-01T02:00:00+01:00,01.11.2025 02:00:00,2025-11-01T02:15:00+01:00,01.11.2025 02:15:00,364.3,10.45,7.97,12.22
2025-11-01T20:45:00+01:00,01.11.2025 20:45:00,2025-11-01T21:00:00+01:00,01.11.2025 21:00:00,367.6,10.32,7.96,12.27
2025-11-01T08:45:00+01:00,01.11.2025 08:45:00,2025-11-01T09:00:00+01:00,01.11.2025 09:00:00,362.1,10.43,7.99,12.3
2025-11-01T10:15:00+01:00,01.11.2025 10:15:00,2025-11-01T10:30:00+01:00,01.11.2025 10:30:00,361.6,10.43,7.99,12.33
2025-11-01T20:30:00+01:00,01.11.2025 20:30:00,2025-11-01T20:45:00+01:00,01.11.2025 20:45:00,367.5,10.32,7.96,12.27
2025-11-01T22:00:00+01:00,01.11.2025 22:00:00,2025-11-01T22:15:00+01:00,01.11.2025 22:15:00,370.1,10.33,7.94,12.3
2025-11-01T22:15:00+01:00,01.11.2025 22:15:00,2025-11-01T22:30:00+01:00,01.11.2025 22:30:00,369.7,10.33,7.94,12.3
2025-11-01T11:00:00+01:00,01.11.2025 11:00:00,2025-11-01T11:15:00+01:00,01.11.2025 11:15:00,361.6,10.43,7.99,12.33
2025-11-01T21:00:00+01:00,01.11.2025 21:00:00,2025-11-01T21:15:00+01:00,01.11.2025 21:15:00,367.8,10.32,7.95,12.27
2025-11-01T18:00:00+01:00,01.11.2025 18:00:00,2025-11-01T18:15:00+01:00,01.11.2025 18:15:00,367.6,10.33,7.96,12.3
2025-11-01T19:45:00+01:00,01.11.2025 19:45:00,2025-11-01T20:00:00+01:00,01.11.2025 20:00:00,367.0,10.33,7.96,12.28
