datum_zeit,timestamp_text,pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,o3_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3,geo_point_2d
2015-12-14T20:00:00+00:00,2015-12-14 21:00:00,18.425,,0.542,45.619,"47.5659354, 7.58192"
2015-12-15T01:00:00+00:00,2015-12-15 02:00:00,18.523,,0.17,36.851,"47.5659354, 7.58192"
2015-12-15T03:00:00+00:00,2015-12-15 04:00:00,19.006,,0.141,35.684,"47.5659354, 7.58192"
2015-12-15T10:00:00+00:00,2015-12-15 11:00:00,25.807,,3.856,35.282,"47.5659354, 7.58192"
2015-12-15T13:00:00+00:00,2015-12-15 14:00:00,25.852,,3.152,37.87,"47.5659354, 7.58192"
2015-12-15T16:00:00+00:00,2015-12-15 17:00:00,30.885,,0.486,43.212,"47.5659354, 7.58192"
2015-12-15T20:00:00+00:00,2015-12-15 21:00:00,25.112,,0.359,43.391,"47.5659354, 7.58192"
2015-12-15T22:00:00+00:00,2015-12-15 23:00:00,21.094,,0.221,42.063,"47.5659354, 7.58192"
2015-12-15T23:00:00+00:00,2015-12-16 00:00:00,22.744,,0.0,42.382,"47.5659354, 7.58192"
2015-12-16T02:00:00+00:00,2015-12-16 03:00:00,22.12,,0.0,37.875,"47.5659354, 7.58192"
2015-12-16T04:00:00+00:00,2015-12-16 05:00:00,20.056,,0.0,35.145,"47.5659354, 7.58192"
2015-12-16T05:00:00+00:00,2015-12-16 06:00:00,19.725,,0.0,36.832,"47.5659354, 7.58192"
2015-12-16T06:00:00+00:00,2015-12-16 07:00:00,18.616,,0.0,40.154,"47.5659354, 7.58192"
2015-12-16T07:00:00+00:00,2015-12-16 08:00:00,19.776,,0.0,43.355,"47.5659354, 7.58192"
2015-12-16T16:00:00+00:00,2015-12-16 17:00:00,25.836,,0.0,59.773,"47.5659354, 7.58192"
2015-12-16T18:00:00+00:00,2015-12-16 19:00:00,25.579,,0.0,56.519,"47.5659354, 7.58192"
