datum_zeit,timestamp_text,pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3,o3_stundenmittelwerte_ug_m3,geo_point_2d
2018-08-02T15:00:00+00:00,2018-08-02 16:00:00,18.763,13.404,73.555,,"47.5670167, 7.5925446"
2018-08-02T19:00:00+00:00,2018-08-02 20:00:00,15.685,11.549,37.734,,"47.5670167, 7.5925446"
2018-08-02T22:00:00+00:00,2018-08-02 23:00:00,16.691,12.671,53.356,,"47.5670167, 7.5925446"
2018-08-03T04:00:00+00:00,2018-08-03 05:00:00,16.175,14.015,31.781,,"47.5670167, 7.5925446"
2018-08-03T05:00:00+00:00,2018-08-03 06:00:00,17.769,15.117,60.514,,"47.5670167, 7.5925446"
2018-08-03T07:00:00+00:00,2018-08-03 08:00:00,25.415,18.376,71.348,,"47.5670167, 7.5925446"
2018-08-03T11:00:00+00:00,2018-08-03 12:00:00,31.216,21.312,75.46,,"47.5670167, 7.5925446"
2018-08-03T13:00:00+00:00,2018-08-03 14:00:00,30.85,24.287,96.523,,"47.5670167, 7.5925446"
2018-08-03T16:00:00+00:00,2018-08-03 17:00:00,30.191,24.223,50.972,,"47.5670167, 7.5925446"
2018-08-03T19:00:00+00:00,2018-08-03 20:00:00,29.785,22.148,57.805,,"47.5670167, 7.5925446"
2018-08-03T21:00:00+00:00,2018-08-03 22:00:00,28.89,23.696,72.958,,"47.5670167, 7.5925446"
2018-08-03T22:00:00+00:00,2018-08-03 23:00:00,26.995,23.441,51.16,,"47.5670167, 7.5925446"
2018-08-03T23:00:00+00:00,2018-08-04 00:00:00,25.991,22.012,40.928,,"47.5670167, 7.5925446"
2018-08-04T01:00:00+00:00,2018-08-04 02:00:00,24.135,20.999,25.101,,"47.5670167, 7.5925446"
2018-08-04T05:00:00+00:00,2018-08-04 06:00:00,24.847,24.259,23.907,,"47.5670167, 7.5925446"
2018-08-04T07:00:00+00:00,2018-08-04 08:00:00,29.49,27.048,37.255,,"47.5670167, 7.5925446"
2018-08-04T09:00:00+00:00,2018-08-04 10:00:00,38.359,27.238,93.293,,"47.5670167, 7.5925446"
2018-08-04T10:00:00+00:00,2018-08-04 11:00:00,34.264,26.6,83.559,,"47.5670167, 7.5925446"
2018-08-04T11:00:00+00:00,2018-08-04 12:00:00,29.859,24.919,86.846,,"47.5670167, 7.5925446"
2018-08-04T15:00:00+00:00,2018-08-04 16:00:00,24.077,20.997,70.425,,"47.5670167, 7.5925446"
2018-08-04T16:00:00+00:00,2018-08-04 17:00:00,24.145,20.334,70.983,,"47.5670167, 7.5925446"
2018-08-04T17:00:00+00:00,2018-08-04 18:00:00,21.218,18.231,56.283,,"47.5670167, 7.5925446"
2018-08-05T02:00:00+00:00,2018-08-05 03:00:00,21.958,21.547,20.244,,"47.5670167, 7.5925446"
2018-08-05T11:00:00+00:00,2018-08-05 12:00:00,19.933,14.997,54.404,,"47.5670167, 7.5925446"
2018-08-05T12:00:00+00:00,2018-08-05 13:00:00,21.943,15.954,48.953,,"47.5670167, 7.5925446"
2018-08-05T13:00:00+00:00,2018-08-05 14:00:00,22.254,16.351,38.37,,"47.5670167, 7.5925446"
2018-08-05T17:00:00+00:00,2018-08-05 18:00:00,20.352,15.16,40.187,,"47.5670167, 7.5925446"
2018-08-05T20:00:00+00:00,2018-08-05 21:00:00,18.882,13.405,49.392,,"47.5670167, 7.5925446"
2018-08-05T22:00:00+00:00,2018-08-05 23:00:00,16.041,11.483,53.786,,"47.5670167, 7.5925446"
2018-08-05T23:00:00+00:00,2018-08-06 00:00:00,15.646,11.07,31.194,,"47.5670167, 7.5925446"
2018-08-06T00:00:00+00:00,2018-08-06 01:00:00,14.21,10.729,19.085,,"47.5670167, 7.5925446"
2018-08-06T04:00:00+00:00,2018-08-06 05:00:00,15.827,12.182,38.906,,"47.5670167, 7.5925446"
2018-08-06T05:00:00+00:00,2018-08-06 06:00:00,16.408,12.362,66.64,,"47.5670167, 7.5925446"
2018-08-06T08:00:00+00:00,2018-08-06 09:00:00,24.042,14.879,71.502,,"47.5670167, 7.5925446"
2018-08-06T13:00:00+00:00,2018-08-06 14:00:00,39.78,23.477,122.663,,"47.5670167, 7.5925446"
2018-08-06T17:00:00+00:00,2018-08-06 18:00:00,24.16,19.54,93.209,,"47.5670167, 7.5925446"
2018-08-07T01:00:00+00:00,2018-08-07 02:00:00,18.317,16.397,13.81,,"47.5670167, 7.5925446"
2018-08-07T03:00:00+00:00,2018-08-07 04:00:00,17.736,15.855,13.892,,"47.5670167, 7.5925446"
2018-08-07T05:00:00+00:00,2018-08-07 06:00:00,19.795,15.353,42.34,,"47.5670167, 7.5925446"
2018-08-07T06:00:00+00:00,2018-08-07 07:00:00,30.912,17.619,68.128,,"47.5670167, 7.5925446"
2018-08-07T08:00:00+00:00,2018-08-07 09:00:00,23.814,13.268,51.527,,"47.5670167, 7.5925446"
2018-08-07T10:00:00+00:00,2018-08-07 11:00:00,28.415,13.197,58.219,,"47.5670167, 7.5925446"
2018-08-07T11:00:00+00:00,2018-08-07 12:00:00,23.9,12.877,47.376,,"47.5670167, 7.5925446"
2018-08-07T13:00:00+00:00,2018-08-07 14:00:00,20.125,14.62,48.594,,"47.5670167, 7.5925446"
2018-08-07T14:00:00+00:00,2018-08-07 15:00:00,30.089,17.08,105.483,,"47.5670167, 7.5925446"
2018-08-07T22:00:00+00:00,2018-08-07 23:00:00,20.136,15.209,25.327,,"47.5670167, 7.5925446"
2018-08-08T00:00:00+00:00,2018-08-08 01:00:00,18.414,13.587,14.539,,"47.5670167, 7.5925446"
2018-08-08T01:00:00+00:00,2018-08-08 02:00:00,15.592,13.318,14.916,,"47.5670167, 7.5925446"
2018-08-08T03:00:00+00:00,2018-08-08 04:00:00,21.955,16.748,25.27,,"47.5670167, 7.5925446"
2018-08-08T04:00:00+00:00,2018-08-08 05:00:00,24.308,17.102,24.755,,"47.5670167, 7.5925446"
2018-08-08T05:00:00+00:00,2018-08-08 06:00:00,21.853,17.093,44.273,,"47.5670167, 7.5925446"
2018-08-08T10:00:00+00:00,2018-08-08 11:00:00,28.017,18.848,48.492,,"47.5670167, 7.5925446"
2018-08-08T13:00:00+00:00,2018-08-08 14:00:00,35.097,20.674,65.193,,"47.5670167, 7.5925446"
2018-08-08T14:00:00+00:00,2018-08-08 15:00:00,31.845,20.56,76.509,,"47.5670167, 7.5925446"
2018-08-08T17:00:00+00:00,2018-08-08 18:00:00,29.91,21.7,25.214,,"47.5670167, 7.5925446"
2018-08-08T18:00:00+00:00,2018-08-08 19:00:00,22.104,17.878,25.009,,"47.5670167, 7.5925446"
2018-08-08T20:00:00+00:00,2018-08-08 21:00:00,18.034,14.947,32.443,,"47.5670167, 7.5925446"
2018-08-08T22:00:00+00:00,2018-08-08 23:00:00,15.085,11.664,17.742,,"47.5670167, 7.5925446"
2018-08-09T00:00:00+00:00,2018-08-09 01:00:00,16.014,13.236,15.939,,"47.5670167, 7.5925446"
2018-08-09T09:00:00+00:00,2018-08-09 10:00:00,21.319,14.097,44.673,,"47.5670167, 7.5925446"
2018-08-09T10:00:00+00:00,2018-08-09 11:00:00,18.506,13.502,45.506,,"47.5670167, 7.5925446"
2018-08-09T15:00:00+00:00,2018-08-09 16:00:00,23.431,13.054,75.538,,"47.5670167, 7.5925446"
2018-08-09T17:00:00+00:00,2018-08-09 18:00:00,20.422,13.419,42.85,,"47.5670167, 7.5925446"
2018-08-09T22:00:00+00:00,2018-08-09 23:00:00,12.149,8.11,21.502,,"47.5670167, 7.5925446"
2018-08-10T02:00:00+00:00,2018-08-10 03:00:00,7.367,4.984,6.621,,"47.5670167, 7.5925446"
2018-08-10T03:00:00+00:00,2018-08-10 04:00:00,7.188,4.801,8.053,,"47.5670167, 7.5925446"
2018-08-10T04:00:00+00:00,2018-08-10 05:00:00,7.238,4.635,17.206,,"47.5670167, 7.5925446"
2018-08-10T10:00:00+00:00,2018-08-10 11:00:00,13.25,6.545,57.697,,"47.5670167, 7.5925446"
2018-08-10T14:00:00+00:00,2018-08-10 15:00:00,11.307,6.758,57.484,,"47.5670167, 7.5925446"
2018-08-10T23:00:00+00:00,2018-08-11 00:00:00,10.292,7.398,23.731,,"47.5670167, 7.5925446"
2018-08-11T10:00:00+00:00,2018-08-11 11:00:00,13.126,7.816,43.623,,"47.5670167, 7.5925446"
2018-08-11T11:00:00+00:00,2018-08-11 12:00:00,12.508,7.486,42.202,,"47.5670167, 7.5925446"
2018-08-11T17:00:00+00:00,2018-08-11 18:00:00,12.461,8.269,48.068,,"47.5670167, 7.5925446"
2018-08-11T20:00:00+00:00,2018-08-11 21:00:00,14.02,10.415,57.062,,"47.5670167, 7.5925446"
2018-08-12T01:00:00+00:00,2018-08-12 02:00:00,11.209,7.94,22.968,,"47.5670167, 7.5925446"
2018-08-12T02:00:00+00:00,2018-08-12 03:00:00,9.469,7.235,20.631,,"47.5670167, 7.5925446"
2018-08-12T05:00:00+00:00,2018-08-12 06:00:00,9.873,7.412,20.094,,"47.5670167, 7.5925446"
2018-08-12T06:00:00+00:00,2018-08-12 07:00:00,9.995,7.751,19.171,,"47.5670167, 7.5925446"
2018-08-12T08:00:00+00:00,2018-08-12 09:00:00,11.48,8.387,30.656,,"47.5670167, 7.5925446"
2018-08-12T10:00:00+00:00,2018-08-12 11:00:00,11.289,7.795,24.704,,"47.5670167, 7.5925446"
2018-08-12T20:00:00+00:00,2018-08-12 21:00:00,14.34,11.523,79.332,,"47.5670167, 7.5925446"
2018-08-12T21:00:00+00:00,2018-08-12 22:00:00,13.444,10.663,51.02,,"47.5670167, 7.5925446"
