startdatum_kalenderwoche_monat,fahrgaste_einsteiger_innen,kalenderwoche,granularitat,datum_der_monatswerte
2020-02-10,2538000.0,7,Woche,
2020-03-16,822000.0,12,Woche,
2020-04-06,588000.0,15,Woche,
2020-04-13,613000.0,16,Woche,
2020-04-20,699000.0,17,Woche,
2020-05-04,915000.0,19,Woche,
2020-05-11,1232000.0,20,Woche,
2020-06-22,1722000.0,26,Woche,
2020-06-29,1628000.0,27,Woche,
2020-07-20,1421000.0,30,Woche,
2020-08-03,1584000.0,32,Woche,
2020-09-28,1654000.0,40,Woche,
2020-11-02,1596000.0,45,Woche,
2020-12-28,1008000.0,53,Woche,
2021-01-18,1334000.0,3,Woche,
2021-02-01,1363000.0,5,Woche,
2021-02-22,1277000.0,8,Woche,
2021-03-08,1536000.0,10,Woche,
2021-04-05,1322000.0,14,Woche,
2021-04-26,1573000.0,17,Woche,
2021-06-14,1715000.0,24,Woche,
2021-07-05,1572000.0,27,Woche,
2021-08-09,1574000.0,32,Woche,
2021-09-06,1781000.0,36,Woche,
2021-09-13,1779000.0,37,Woche,
2021-09-20,1947000.0,38,Woche,
2021-09-27,1877000.0,39,Woche,
2021-11-08,1960000.0,45,Woche,
2021-12-27,1318000.0,52,Woche,
2022-01-03,1632000.0,1,Woche,
2022-01-24,1790000.0,4,Woche,
2022-02-21,1926000.0,8,Woche,
2022-03-07,1644000.0,10,Woche,
2022-03-14,1900000.0,11,Woche,
2022-05-09,2143000.0,19,Woche,
2022-06-06,1949000.0,23,Woche,
2022-07-11,1709000.0,28,Woche,
2022-07-18,1641000.0,29,Woche,
2022-07-25,1600000.0,30,Woche,
2022-08-01,1612000.0,31,Woche,
2022-09-19,2165000.0,38,Woche,
2022-09-26,2212000.0,39,Woche,
2022-10-17,2204000.0,42,Woche,
2022-11-07,2539000.0,45,Woche,
2022-12-26,1526000.0,52,Woche,
2023-02-20,1947000.0,8,Woche,
2023-03-27,2245000.0,13,Woche,
2023-05-01,2119000.0,18,Woche,
2023-05-22,2230000.0,21,Woche,
2023-05-29,2140000.0,22,Woche,
2023-06-05,2229000.0,23,Woche,
2023-07-03,1826000.0,27,Woche,
2023-07-24,1730000.0,30,Woche,
2023-07-31,1667000.0,31,Woche,
2023-08-07,1934000.0,32,Woche,
2023-08-21,2203000.0,34,Woche,
2023-08-28,2270000.0,35,Woche,
2023-09-11,2115000.0,37,Woche,
2023-09-18,2139000.0,38,Woche,
2023-10-23,2595000.0,43,Woche,
2023-10-30,2639000.0,44,Woche,
2023-11-13,2394000.0,46,Woche,
2023-12-11,2556000.0,50,Woche,
2020-04-01,2930000.0,,Monat,2020-04
2020-05-01,5030000.0,,Monat,2020-05
2020-06-01,6990000.0,,Monat,2020-06
2020-07-01,6680000.0,,Monat,2020-07
2020-09-01,7720000.0,,Monat,2020-09
2020-12-01,6370000.0,,Monat,2020-12
2021-02-01,5520000.0,,Monat,2021-02
2021-07-01,6870000.0,,Monat,2021-07
2021-09-01,8230000.0,,Monat,2021-09
2021-11-01,9020000.0,,Monat,2021-11
2022-02-01,7650000.0,,Monat,2022-02
2022-04-01,8320000.0,,Monat,2022-04
2022-05-01,9290000.0,,Monat,2022-05
2022-08-01,8700000.0,,Monat,2022-08
2022-12-01,9800000.0,,Monat,2022-12
2023-02-01,8830000.0,,Monat,2023-02
2023-04-01,8880000.0,,Monat,2023-04
2023-10-01,9790000.0,,Monat,2023-10
2023-11-01,11110000.0,,Monat,2023-11
2024-02-01,9220000.0,,Monat,2024-02
2024-07-01,8250000.0,,Monat,2024-07
2024-12-01,10080000.0,,Monat,2024-12
2025-03-01,9770000.0,,Monat,2025-03
2025-04-01,9340000.0,,Monat,2025-04
2025-06-01,9760000.0,,Monat,2025-06
2025-11-01,11190000.0,,Monat,2025-11
2025-12-01,10300000.0,,Monat,2025-12
2026-01-01,10400000.0,,Monat,2026-01
2020-01-01,10590000.0,,Monat,2020-01
2020-02-01,10180000.0,,Monat,2020-02
2020-11-01,6850000.0,,Monat,2020-11
