date,kategorie,pax,fret,mvt
2019-12-31,Passagierverkehr,19643,0.334,160
2019-12-31,Fracht Express,0,49.879,9
2019-12-28,Passagierverkehr,21662,0.291,158
2019-12-28,Fracht Cargo,0,,
2019-12-27,Fracht Cargo,0,15.7,2
2019-12-26,Fracht Cargo,0,,
2019-12-24,Passagierverkehr,17667,0.0,137
2019-12-24,Fracht Cargo,0,,
2019-12-24,Andere Kategorien,3,,9
2019-12-23,Fracht Cargo,0,39.176,2
2019-12-23,Andere Kategorien,0,,7
2019-12-22,Fracht Cargo,0,,
2019-12-21,Passagierverkehr,22112,1.984,182
2019-12-21,Andere Kategorien,8,,55
2019-12-20,Fracht Express,0,187.668,18
2019-12-20,Andere Kategorien,1,,48
2019-12-16,Fracht Cargo,0,54.459,2
2019-12-15,Fracht Cargo,0,18.375,2
2019-12-13,Fracht Express,0,186.415,17
2019-12-12,Fracht Express,0,184.578,14
2019-12-11,Fracht Express,0,242.343,20
2019-12-10,Passagierverkehr,14613,0.817,151
2019-12-09,Fracht Express,0,164.717,15
2019-12-09,Andere Kategorien,7,,16
2019-12-08,Fracht Express,0,,
2019-12-07,Fracht Cargo,0,118.861,4
2019-12-06,Fracht Cargo,0,38.152,2
2019-12-05,Passagierverkehr,14680,0.538,146
2019-12-05,Fracht Express,0,215.574,18
2019-12-04,Passagierverkehr,14946,1.442,140
2019-12-04,Andere Kategorien,6,,71
2019-12-03,Fracht Cargo,0,,
2019-12-03,Andere Kategorien,12,,63
2019-12-02,Fracht Express,0,177.71,15
2019-12-02,Fracht Cargo,0,37.396,2
2019-12-02,Andere Kategorien,10,,31
2019-12-01,Passagierverkehr,24623,0.831,192
2019-12-01,Fracht Express,0,,
2019-12-01,Fracht Cargo,0,20.229,2
2019-11-30,Fracht Express,0,33.027,4
2019-11-30,Fracht Cargo,0,101.106,4
2019-11-30,Andere Kategorien,2,,63
2019-11-29,Passagierverkehr,24514,0.048,199
2019-11-28,Fracht Cargo,0,,
2019-11-27,Passagierverkehr,13798,0.525,146
2019-11-27,Fracht Cargo,0,77.612,4
2019-11-26,Passagierverkehr,13732,0.451,146
2019-11-25,Andere Kategorien,12,,62
2019-11-24,Fracht Express,0,,
2019-11-24,Fracht Cargo,0,40.168,2
2019-11-23,Fracht Express,0,45.852,4
2019-11-23,Andere Kategorien,0,,10
2019-11-21,Fracht Express,0,216.51,20
2019-11-21,Andere Kategorien,12,,21
2019-11-20,Fracht Express,0,218.967,20
2019-11-20,Andere Kategorien,11,,6
2019-11-18,Fracht Express,0,167.973,14
2019-11-18,Andere Kategorien,6,,40
2019-11-16,Passagierverkehr,16868,1.333,149
2019-11-16,Fracht Cargo,0,94.561,4
2019-11-16,Andere Kategorien,0,,74
2019-11-15,Fracht Express,0,171.542,15
2019-11-13,Fracht Cargo,0,67.886,4
2019-11-12,Fracht Express,0,197.536,20
2019-11-11,Passagierverkehr,19725,0.638,179
2019-11-11,Fracht Express,0,140.374,12
2019-11-11,Fracht Cargo,0,37.134,2
2019-11-11,Andere Kategorien,18,,88
2019-11-10,Passagierverkehr,24897,,192
2019-11-10,Andere Kategorien,0,,81
2019-11-08,Fracht Cargo,0,38.797,3
2019-11-07,Passagierverkehr,18261,,167
2019-11-06,Passagierverkehr,16486,0.545,145
2019-11-06,Fracht Express,0,214.077,20
2019-11-05,Andere Kategorien,8,,80
2019-11-04,Fracht Cargo,0,48.327,2
2019-11-02,Passagierverkehr,20336,1.555,166
2019-11-01,Passagierverkehr,26344,1.491,207
2019-10-31,Passagierverkehr,23570,0.548,196
2019-10-31,Andere Kategorien,10,,27
2019-10-30,Passagierverkehr,22156,1.016,195
2019-10-30,Fracht Express,0,214.017,20
2019-10-29,Passagierverkehr,19487,2.632,174
2019-10-29,Fracht Express,0,204.497,22
2019-10-29,Fracht Cargo,0,,
2019-10-29,Andere Kategorien,6,,10
2019-10-28,Passagierverkehr,23676,1.77,192
2019-10-27,Passagierverkehr,27384,0.556,216
2019-10-26,Passagierverkehr,27007,3.999,208
2019-10-26,Fracht Express,0,42.381,4
2019-10-26,Fracht Cargo,0,86.369,4
2019-10-26,Andere Kategorien,10,,88
2019-10-25,Andere Kategorien,13,,85
2019-10-24,Passagierverkehr,27150,0.588,245
2019-10-22,Andere Kategorien,5,,10
2019-10-21,Fracht Cargo,0,39.239,2
2019-10-20,Fracht Cargo,0,26.101,2
2019-10-19,Fracht Cargo,0,68.467,4
2019-10-19,Andere Kategorien,0,,9
2019-10-18,Passagierverkehr,32165,2.205,258
2019-10-18,Fracht Express,0,163.466,14
2019-10-17,Fracht Cargo,0,,
2019-10-17,Andere Kategorien,43,,45
2019-10-16,Fracht Cargo,0,49.128,4
2019-10-16,Andere Kategorien,16,,60
2019-10-15,Fracht Express,0,208.661,20
2019-10-14,Passagierverkehr,28598,0.402,242
2019-10-14,Fracht Express,0,131.425,10
2019-10-14,Fracht Cargo,0,48.702,2
2019-10-14,Andere Kategorien,15,,102
2019-10-13,Fracht Cargo,0,16.386,2
2019-10-13,Andere Kategorien,13,,86
2019-10-11,Andere Kategorien,10,,63
2019-10-10,Passagierverkehr,30026,3.059,253
2019-10-09,Fracht Express,0,205.16,20
2019-10-08,Passagierverkehr,27142,0.726,231
2019-10-06,Fracht Express,0,,
2019-10-06,Fracht Cargo,0,20.958,2
2019-10-05,Passagierverkehr,30695,1.543,222
2019-10-03,Fracht Express,0,195.89,18
2019-10-02,Andere Kategorien,18,,27
2019-10-01,Fracht Cargo,0,,
2019-09-30,Fracht Cargo,0,43.919,4
2019-09-28,Fracht Cargo,0,53.565,4
2019-09-26,Fracht Express,0,216.526,20
2019-09-26,Fracht Cargo,0,,
2019-09-26,Andere Kategorien,21,,57
2019-09-25,Fracht Cargo,0,52.791,4
2019-09-24,Fracht Express,0,191.315,20
2019-09-24,Fracht Cargo,0,,
2019-09-23,Fracht Express,0,126.003,14
2019-09-23,Andere Kategorien,6,,61
2019-09-22,Fracht Cargo,0,11.709,2
2019-09-21,Passagierverkehr,29797,1.554,231
2019-09-21,Fracht Cargo,0,51.764,4
2019-09-18,Passagierverkehr,26165,1.224,238
2019-09-17,Passagierverkehr,25205,1.357,233
2019-09-17,Fracht Cargo,0,,
2019-09-16,Andere Kategorien,13,,37
2019-09-13,Fracht Cargo,0,28.855,2
2019-09-13,Andere Kategorien,20,,63
2019-09-12,Passagierverkehr,28653,0.752,250
2019-09-12,Fracht Cargo,0,,
2019-09-12,Andere Kategorien,2,,60
2019-09-11,Passagierverkehr,26998,1.525,238
2019-09-11,Andere Kategorien,41,,40
2019-09-09,Passagierverkehr,28098,0.171,228
2019-09-09,Fracht Express,0,144.235,13
2019-09-08,Passagierverkehr,31990,0.178,241
2019-09-07,Passagierverkehr,29267,1.801,219
2019-09-07,Fracht Cargo,0,68.929,5
2019-09-06,Fracht Cargo,0,48.075,3
2019-09-05,Fracht Express,0,203.558,20
2019-09-05,Andere Kategorien,16,,34
2019-09-04,Passagierverkehr,27860,0.71,248
2019-09-04,Fracht Cargo,0,63.708,4
2019-09-03,Fracht Express,0,179.719,20
2019-09-02,Passagierverkehr,28605,0.473,233
2019-09-02,Andere Kategorien,17,,52
2019-08-31,Fracht Express,0,33.468,4
2019-08-30,Passagierverkehr,31128,0.731,243
2019-08-30,Fracht Express,0,145.56,14
2019-08-30,Andere Kategorien,3,,71
2019-08-29,Andere Kategorien,10,,43
2019-08-27,Fracht Express,0,181.991,20
2019-08-27,Andere Kategorien,16,,62
2019-08-26,Passagierverkehr,28680,1.139,225
2019-08-26,Fracht Express,0,134.002,14
2019-08-26,Fracht Cargo,0,37.233,3
2019-08-24,Andere Kategorien,0,,59
2019-08-23,Passagierverkehr,31105,1.785,247
2019-08-23,Andere Kategorien,12,,54
2019-08-22,Fracht Cargo,0,,
2019-08-21,Andere Kategorien,5,,47
2019-08-20,Fracht Express,0,171.168,18
2019-08-20,Andere Kategorien,8,,34
2019-08-19,Fracht Cargo,0,53.671,2
2019-08-19,Andere Kategorien,10,,24
2019-08-18,Fracht Express,0,,
2019-08-18,Fracht Cargo,0,,
