timestamp,g107_no2,g107_03,g107_pm25,g125_no2,g125_o3,g125_pm25,g131_no2,g131_o3,g131_pm25,timestamp_text,anfangszeit
2022-11-18T04:30:00+00:00,0.6,60.8,0.2,0.0,50.3,0.2,1.3,56.5,0.3,2022-11-18T05:30:00+0100,18.11.2022 05:30:00
2022-11-20T02:30:00+00:00,1.1,55.3,1.5,0.0,44.5,1.6,1.9,53.3,1.5,2022-11-20T03:30:00+0100,20.11.2022 03:30:00
2022-11-19T08:30:00+00:00,14.2,41.7,2.1,5.7,33.1,2.2,28.7,24.9,2.3,2022-11-19T09:30:00+0100,19.11.2022 09:30:00
2022-11-19T17:30:00+00:00,12.0,46.9,3.8,9.0,35.9,4.2,31.0,30.7,5.9,2022-11-19T18:30:00+0100,19.11.2022 18:30:00
2022-11-19T18:00:00+00:00,12.6,44.7,4.1,6.7,32.1,4.6,28.1,26.1,5.3,2022-11-19T19:00:00+0100,19.11.2022 19:00:00
2022-11-22T07:30:00+00:00,51.4,34.7,2.8,36.0,30.7,2.9,55.8,34.7,3.6,2022-11-22T08:30:00+0100,22.11.2022 08:30:00
2022-11-24T05:30:00+00:00,17.8,30.7,4.7,18.5,16.6,4.7,27.3,18.2,4.7,2022-11-24T06:30:00+0100,24.11.2022 06:30:00
2022-11-22T09:00:00+00:00,40.2,25.5,2.6,32.1,24.5,2.4,47.0,34.7,2.7,2022-11-22T10:00:00+0100,22.11.2022 10:00:00
2022-11-22T10:30:00+00:00,21.8,60.4,1.7,5.5,60.2,1.6,22.0,48.3,1.8,2022-11-22T11:30:00+0100,22.11.2022 11:30:00
2022-11-22T09:30:00+00:00,44.0,30.9,2.5,38.4,29.7,2.4,59.7,39.5,2.6,2022-11-22T10:30:00+0100,22.11.2022 10:30:00
2022-11-22T11:30:00+00:00,11.7,66.0,0.9,3.8,61.0,0.9,12.6,51.5,0.9,2022-11-22T12:30:00+0100,22.11.2022 12:30:00
2022-11-22T21:30:00+00:00,19.5,33.3,3.9,18.0,13.8,4.0,31.0,19.8,4.5,2022-11-22T22:30:00+0100,22.11.2022 22:30:00
2022-11-22T22:00:00+00:00,13.6,37.3,3.8,6.5,22.9,3.8,18.9,13.6,4.8,2022-11-22T23:00:00+0100,22.11.2022 23:00:00
2022-11-22T15:30:00+00:00,32.5,39.9,3.4,16.4,49.3,1.9,21.8,49.7,1.7,2022-11-22T16:30:00+0100,22.11.2022 16:30:00
2022-11-22T16:30:00+00:00,22.0,46.7,1.9,28.5,44.1,1.7,29.1,48.5,1.7,2022-11-22T17:30:00+0100,22.11.2022 17:30:00
2022-11-22T20:30:00+00:00,13.8,42.1,2.8,10.7,22.9,8.4,26.2,20.5,3.2,2022-11-22T21:30:00+0100,22.11.2022 21:30:00
2022-11-22T04:30:00+00:00,4.0,52.5,3.5,0.2,45.5,3.5,3.1,46.3,3.3,2022-11-22T05:30:00+0100,22.11.2022 05:30:00
2022-11-22T03:30:00+00:00,0.4,52.7,3.7,0.0,41.3,3.7,1.7,47.5,3.5,2022-11-22T04:30:00+0100,22.11.2022 04:30:00
2022-11-22T04:00:00+00:00,0.8,49.7,3.5,0.2,35.7,3.5,4.4,33.3,3.2,2022-11-22T05:00:00+0100,22.11.2022 05:00:00
2022-11-23T19:00:00+00:00,3.4,64.0,1.5,0.8,62.8,1.7,0.0,65.0,1.6,2022-11-23T20:00:00+0100,23.11.2022 20:00:00
2022-11-23T20:00:00+00:00,0.8,76.2,1.8,2.3,68.4,1.6,0.4,73.2,1.7,2022-11-23T21:00:00+0100,23.11.2022 21:00:00
2022-11-23T23:30:00+00:00,4.8,42.9,2.8,3.6,24.3,3.0,9.0,22.9,3.0,2022-11-24T00:30:00+0100,24.11.2022 00:30:00
2022-11-24T04:30:00+00:00,1.5,47.1,4.5,0.6,27.1,4.3,2.1,28.3,3.9,2022-11-24T05:30:00+0100,24.11.2022 05:30:00
2022-11-24T14:00:00+00:00,21.8,36.1,3.4,15.5,24.1,4.7,38.1,28.1,5.1,2022-11-24T15:00:00+0100,24.11.2022 15:00:00
