anfangszeit,pm25,zeitstempel_text
2022-06-15T22:00:00+00:00,8.0,16.06.2022 00:00:00
2021-02-18T01:30:00+00:00,4.8,18.02.2021 02:30:00
2021-02-18T05:00:00+00:00,8.3,18.02.2021 06:00:00
2021-02-18T07:30:00+00:00,14.1,18.02.2021 08:30:00
2021-02-18T17:00:00+00:00,5.9,18.02.2021 18:00:00
2021-02-18T17:30:00+00:00,10.4,18.02.2021 18:30:00
2021-02-18T21:00:00+00:00,12.6,18.02.2021 22:00:00
2021-02-18T23:30:00+00:00,4.3,19.02.2021 00:30:00
2021-02-19T03:00:00+00:00,3.4,19.02.2021 04:00:00
2021-02-19T05:00:00+00:00,2.3,19.02.2021 06:00:00
2021-02-19T09:00:00+00:00,4.6,19.02.2021 10:00:00
2021-02-19T12:00:00+00:00,5.9,19.02.2021 13:00:00
2021-02-19T14:00:00+00:00,4.4,19.02.2021 15:00:00
2021-02-20T09:30:00+00:00,16.6,20.02.2021 10:30:00
2021-02-20T10:30:00+00:00,14.6,20.02.2021 11:30:00
2021-02-20T15:00:00+00:00,7.9,20.02.2021 16:00:00
2021-02-20T15:30:00+00:00,7.7,20.02.2021 16:30:00
2021-02-20T22:00:00+00:00,17.9,20.02.2021 23:00:00
2021-02-21T05:30:00+00:00,18.3,21.02.2021 06:30:00
2021-02-21T13:30:00+00:00,7.3,21.02.2021 14:30:00
2021-02-22T03:00:00+00:00,11.2,22.02.2021 04:00:00
2021-02-22T04:30:00+00:00,11.0,22.02.2021 05:30:00
2021-02-22T11:30:00+00:00,5.9,22.02.2021 12:30:00
2021-02-22T16:30:00+00:00,6.1,22.02.2021 17:30:00
2021-02-22T20:30:00+00:00,11.5,22.02.2021 21:30:00
2021-02-22T23:30:00+00:00,12.9,23.02.2021 00:30:00
2021-02-23T04:30:00+00:00,12.2,23.02.2021 05:30:00
2021-02-23T09:00:00+00:00,14.2,23.02.2021 10:00:00
2021-02-23T14:00:00+00:00,7.5,23.02.2021 15:00:00
2021-02-23T15:30:00+00:00,7.5,23.02.2021 16:30:00
2021-02-23T19:00:00+00:00,10.5,23.02.2021 20:00:00
2021-02-23T20:30:00+00:00,13.3,23.02.2021 21:30:00
2021-02-23T22:00:00+00:00,12.9,23.02.2021 23:00:00
2021-02-24T10:30:00+00:00,12.4,24.02.2021 11:30:00
2021-02-24T11:00:00+00:00,11.4,24.02.2021 12:00:00
2021-02-24T13:30:00+00:00,11.3,24.02.2021 14:30:00
2021-02-24T17:30:00+00:00,13.0,24.02.2021 18:30:00
2021-02-24T22:30:00+00:00,17.4,24.02.2021 23:30:00
