timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-11-17T23:30:00+00:00,3.6,47.5,4.3,15.3,34.3,2.7,17.4,34.5,2.6,2022-11-18T00:30:00+0100,18.11.2022 00:30:00
2022-11-17T18:30:00+00:00,50.1,51.7,4.9,43.4,31.9,2.7,32.1,36.1,1.5,2022-11-17T19:30:00+0100,17.11.2022 19:30:00
2022-11-17T19:30:00+00:00,43.6,35.9,1.9,10.5,57.3,2.0,13.4,52.5,1.0,2022-11-17T20:30:00+0100,17.11.2022 20:30:00
2022-11-17T22:00:00+00:00,24.1,27.3,3.2,33.3,23.3,2.5,36.7,19.4,1.9,2022-11-17T23:00:00+0100,17.11.2022 23:00:00
2022-11-18T02:30:00+00:00,0.8,72.2,0.6,0.0,61.2,0.6,0.8,71.8,0.4,2022-11-18T03:30:00+0100,18.11.2022 03:30:00
2022-11-18T23:00:00+00:00,4.0,35.5,1.0,14.3,37.3,3.2,18.2,35.9,1.7,2022-11-19T00:00:00+0100,19.11.2022 00:00:00
2022-11-21T07:30:00+00:00,41.5,31.7,2.0,102.1,56.3,4.1,79.6,43.1,3.1,2022-11-21T08:30:00+0100,21.11.2022 08:30:00
2022-11-21T08:00:00+00:00,55.1,39.5,2.5,65.8,46.1,5.0,36.3,24.3,3.4,2022-11-21T09:00:00+0100,21.11.2022 09:00:00
2022-11-23T06:30:00+00:00,29.3,12.6,3.6,40.5,23.9,4.9,67.1,34.5,4.8,2022-11-23T07:30:00+0100,23.11.2022 07:30:00
2022-11-24T01:00:00+00:00,4.8,28.3,3.6,0.0,45.7,3.9,11.3,28.5,3.6,2022-11-24T02:00:00+0100,24.11.2022 02:00:00
2022-11-21T22:30:00+00:00,34.2,20.3,5.6,23.3,25.1,3.0,29.6,18.2,2.6,2022-11-21T23:30:00+0100,21.11.2022 23:30:00
2022-11-21T23:00:00+00:00,26.6,17.0,5.3,29.6,13.6,3.3,30.0,13.0,3.0,2022-11-22T00:00:00+0100,22.11.2022 00:00:00
2022-11-21T22:00:00+00:00,34.6,29.9,3.7,22.2,29.9,2.4,24.5,29.5,2.0,2022-11-21T23:00:00+0100,21.11.2022 23:00:00
2022-11-21T16:30:00+00:00,71.7,44.3,1.9,57.0,44.7,4.1,58.7,45.3,2.2,2022-11-21T17:30:00+0100,21.11.2022 17:30:00
2022-11-21T17:00:00+00:00,53.0,17.6,2.3,50.9,29.3,3.6,56.4,37.7,2.4,2022-11-21T18:00:00+0100,21.11.2022 18:00:00
2022-11-22T03:30:00+00:00,12.6,43.9,4.0,0.0,48.5,3.7,0.8,52.5,3.5,2022-11-22T04:30:00+0100,22.11.2022 04:30:00
2022-11-22T15:30:00+00:00,103.5,80.0,2.1,83.4,54.5,4.9,17.6,46.1,1.8,2022-11-22T16:30:00+0100,22.11.2022 16:30:00
2022-11-22T19:00:00+00:00,58.7,39.1,1.8,45.3,36.9,3.5,15.9,41.5,2.2,2022-11-22T20:00:00+0100,22.11.2022 20:00:00
2022-11-22T19:30:00+00:00,60.0,26.5,1.7,21.0,34.5,4.4,17.4,36.5,2.2,2022-11-22T20:30:00+0100,22.11.2022 20:30:00
