datum,7_tagemedian_of_e_n1_n2_pro_tag_100_000_pers,7t_median_bs_bl
2021-07-03,,6.0
2021-07-06,201269845535.97824,5.5
2021-07-07,201269845535.97824,5.0
2021-07-10,326010716109.4878,7.0
2021-07-11,425887889759.6074,7.0
2021-07-15,574941524060.3727,18.0
2021-07-19,529735149683.81525,18.0
2021-07-20,559284850392.9752,18.0
2021-07-21,559284850392.9752,20.0
2021-07-22,623538504659.2615,20.0
2021-07-24,976447164320.078,20.0
2021-07-28,1198736336096.51,33.0
2021-08-01,1179733652269.7341,34.0
2021-08-02,1179733652269.7341,34.0
2021-08-03,1171710469228.1406,36.0
2021-08-07,1171710469228.1406,43.0
2021-08-08,1137443453420.8232,43.0
2021-08-13,1446777526502.3093,62.0
2021-08-15,1893842076567.7732,63.0
2021-08-17,2553872255220.7915,68.0
2021-08-18,2564584621173.435,78.0
2021-08-20,2884269473102.219,106.0
2021-08-21,2913567531455.2944,106.0
2021-08-29,1763008400876.947,93.0
2021-09-01,1788166397260.116,70.0
2021-09-04,1533463528368.3176,63.0
2021-09-05,1087669927701.7765,63.0
2021-09-09,987793617944.396,68.0
2021-09-10,1080591017819.2275,65.0
2021-09-15,1421903981201.6938,46.0
2021-09-20,655061547558.2551,34.0
2021-09-26,613910688848.8724,24.0
2021-09-27,613910688848.8724,24.0
2021-10-03,535314015411.84644,15.0
2021-10-04,535314015411.84644,15.0
2021-10-05,535314015411.84644,15.0
2021-10-07,619554116160.9374,13.0
2021-10-09,667964553521.0349,11.0
2021-10-10,668179221267.8873,11.0
2021-10-11,668179221267.8873,11.0
2021-10-12,668179221267.8873,13.0
2021-10-14,668179221267.8873,13.0
2021-10-15,668179221267.8873,13.0
2021-10-19,779163905409.5043,15.0
2021-10-23,733419018694.6388,25.0
2021-10-25,1047036636731.1833,25.0
2021-10-28,1220161874301.6865,33.0
2021-11-01,1059979352963.536,46.0
2021-11-04,1059979352963.536,73.0
2021-11-06,1225031004150.5247,74.0
2021-11-08,2997433182696.036,84.0
2021-11-14,4057339056782.7095,115.0
2021-11-15,4057339056782.7095,122.0
2021-11-16,4057339056782.7095,131.0
2021-11-17,4057339056782.7095,141.0
2021-11-18,4057339056782.7095,141.0
2021-11-21,5043403890972.896,207.0
2021-11-23,5835602363610.533,219.0
2021-11-29,5510092186954.067,254.0
2021-12-03,5356917765090.286,307.0
2021-12-07,7982501372629.573,298.0
2021-12-09,7982501372629.573,298.0
2021-12-14,6668596539053.711,240.0
2021-12-15,6668596539053.711,240.0
2021-12-16,6668596539053.711,240.0
2021-12-19,6668596539053.711,232.0
2021-12-20,7012894079071.142,207.0
2021-12-21,7793414449661.93,207.0
2021-12-22,7819654711670.998,207.0
2021-12-28,5853024968419.921,232.0
2022-01-01,5747925313593.063,323.0
2022-01-03,5992273151365.526,325.0
2022-01-05,7151658866035.192,380.0
2022-01-06,6517175915438.339,565.0
2022-01-07,6565855503380.7,624.0
2022-01-08,6565855503380.7,624.0
2022-01-10,6565855503380.7,664.0
2022-01-14,7564713629155.804,745.0
2022-01-17,9854372641092.88,752.0
2022-01-19,11098770392668.045,818.0
2022-01-25,12947385092666.893,1154.0
2022-01-27,12947385092666.893,1206.0
2022-01-28,12641713924799.096,1180.0
2022-02-01,10387717748964.287,1098.0
2022-02-03,10387717748964.287,1081.0
2022-02-07,11217741285242.023,960.0
