datum,jahr,monat,frosttag,eistag,sommertag,hitzetag,sonnenlos,regen1,regen2,regen3,schneefall,schneedecke,reif,nebel,gewitter1,gewitter2,hagel,hell,trueb,wind1,wind2,heiztage
2026-04,2026,April,0,0,0,0,2,8,6,5,0,0,4,0,1,1.0,0,7,9,1,0,11.0
2026-02,2026,Februar,4,0,0,0,5,18,14,12,0,0,4,4,0,0.0,0,3,17,6,0,26.0
2026-01,2026,Januar,17,1,0,0,8,10,8,5,5,1,12,5,0,0.0,0,1,13,2,0,31.0
2025-11,2025,November,4,1,0,0,7,11,10,10,0,0,3,1,0,0.0,0,0,16,0,0,28.0
2025-10,2025,Oktober,0,0,0,0,3,13,12,11,0,0,1,6,0,0.0,0,1,18,5,1,21.0
2025-07,2025,Juli,0,0,17,4,1,15,14,14,0,0,0,0,9,5.0,0,3,11,3,0,0.0
2025-04,2025,April,0,0,1,0,2,9,9,9,0,0,4,1,1,1.0,0,7,10,1,0,18.0
2025-03,2025,März,3,0,0,0,2,10,9,6,0,0,8,0,1,0.0,0,6,11,0,0,29.0
2024-11,2024,November,6,0,0,0,9,11,9,6,2,4,3,7,0,0.0,0,1,11,2,0,30.0
2024-09,2024,September,0,0,6,2,5,18,14,12,0,0,0,0,1,1.0,0,1,15,1,0,7.0
2024-03,2024,März,0,0,0,0,7,18,17,15,0,0,1,1,0,0.0,0,0,16,3,0,28.0
2024-02,2024,Februar,0,0,0,0,9,17,14,9,0,0,3,0,0,0.0,0,0,19,2,1,29.0
2023-10,2023,Oktober,0,0,10,0,5,12,12,11,0,0,1,2,0,0.0,0,3,12,5,0,9.0
2023-09,2023,September,0,0,21,6,0,6,6,6,0,0,0,0,3,1.0,0,9,5,1,0,8.0
2023-05,2023,Mai,0,0,8,0,1,12,11,9,0,0,0,0,5,2.0,0,5,17,1,0,4.0
2023-03,2023,März,6,0,0,0,3,16,13,12,2,0,5,0,3,1.0,0,1,17,10,0,23.0
2022-09,2022,September,0,0,7,0,2,19,18,16,0,0,0,3,5,3.0,1,2,14,3,0,8.0
2022-05,2022,Mai,0,0,9,2,2,11,8,7,0,0,0,2,7,4.0,0,1,9,2,0,3.0
2022-02,2022,Februar,6,0,0,0,4,16,12,10,1,0,7,0,0,0.0,0,4,14,9,4,28.0
2021-07,2021,Juli,0,0,14,0,1,18,18,17,0,0,0,0,8,7.0,1,3,16,1,0,0.0
2020-12,2020,Dezember,7,0,0,0,14,24,21,16,5,0,5,0,0,0.0,0,0,19,3,0,30.0
2020-02,2020,Februar,4,0,0,0,4,17,14,13,2,0,4,0,4,0.0,0,1,12,17,3,28.0
2020-01,2020,Januar,14,0,0,0,1,9,9,6,0,0,18,1,1,0.0,0,6,7,2,0,30.0
2019-11,2019,November,1,0,0,0,7,15,14,10,1,0,7,3,0,0.0,0,0,19,4,0,29.0
2019-09,2019,September,0,0,9,0,0,7,6,6,0,0,0,1,0,0.0,0,5,11,4,0,1.0
2019-07,2019,Juli,0,0,22,8,1,9,9,9,0,0,0,0,7,3.0,1,2,3,2,0,0.0
2019-04,2019,April,0,0,1,0,2,11,11,8,2,2,1,0,1,1.0,0,1,17,3,0,20.0
2019-03,2019,März,6,0,0,0,2,14,13,11,1,0,10,0,2,1.0,0,5,8,12,1,30.0
2018-06,2018,Juni,0,0,17,2,0,8,8,6,0,0,0,0,5,3.0,0,5,6,0,0,0.0
2018-02,2018,Februar,19,3,0,0,11,10,9,7,8,4,7,1,0,0.0,0,2,19,1,0,28.0
2018-01,2018,Januar,2,0,0,0,13,16,16,14,1,0,8,1,1,1.0,0,1,20,13,1,31.0
2017-04,2017,April,2,0,0,0,2,11,8,8,3,1,8,1,1,0.0,0,4,7,1,0,22.0
2017-01,2017,Januar,26,13,0,0,14,14,14,7,10,23,8,2,0,0.0,0,3,18,3,0,31.0
2016-02,2016,Februar,5,0,0,0,12,19,15,12,5,2,2,1,1,0.0,0,0,22,5,2,28.0
2016-01,2016,Januar,8,3,0,0,10,21,20,17,4,3,7,3,0,0.0,0,0,20,8,0,31.0
2014-11,2014,November,0,0,0,0,7,11,10,9,0,0,1,4,0,0.0,0,0,14,0,0,30.0
2014-09,2014,September,0,0,9,0,2,8,7,7,0,0,0,2,2,0.0,0,1,9,0,0,1.0
2014-08,2014,August,0,0,7,0,1,21,19,16,0,0,0,0,11,3.0,0,0,13,3,0,0.0
2014-05,2014,Mai,0,0,3,0,1,15,15,13,0,0,0,0,3,0.0,0,1,13,3,0,9.0
2014-04,2014,April,0,0,0,0,6,13,12,8,0,0,3,0,2,1.0,0,2,14,2,0,13.0
2014-02,2014,Februar,0,0,0,0,5,19,16,10,1,0,3,1,1,0.0,0,1,14,2,0,28.0
2013-12,2013,Dezember,15,0,0,0,3,11,9,8,0,0,16,5,0,0.0,0,4,11,1,0,31.0
2013-09,2013,September,0,0,5,1,4,14,12,9,0,0,0,7,2,1.0,0,3,16,2,0,2.0
2013-05,2013,Mai,0,0,0,0,3,25,23,16,0,0,0,4,3,0.0,0,0,23,3,0,18.0
2012-11,2012,November,1,0,0,0,10,15,14,13,1,0,4,4,0,0.0,0,0,17,3,0,29.0
2012-06,2012,Juni,0,0,10,3,0,18,17,16,0,0,0,2,4,4.0,1,4,13,4,0,0.0
2012-03,2012,März,3,0,0,0,1,4,4,4,0,0,5,5,0,0.0,0,0,5,1,0,26.0
2012-02,2012,Februar,20,13,0,0,7,8,8,6,7,16,13,1,0,0.0,0,0,11,8,0,29.0
2011-11,2011,November,2,0,0,0,6,4,1,1,0,0,3,6,0,0.0,0,2,11,0,0,30.0
2011-07,2011,Juli,0,0,9,1,0,15,12,10,0,0,0,0,4,4.0,0,2,12,2,0,0.0
2011-03,2011,März,10,0,0,0,4,9,9,8,0,0,12,4,0,0.0,0,6,12,1,0,30.0
2010-12,2010,Dezember,20,7,0,0,15,22,21,15,14,21,1,7,0,0.0,0,0,24,4,0,31.0
2010-10,2010,Oktober,1,0,0,0,4,8,7,6,0,0,4,6,0,0.0,0,1,14,0,0,22.0
2010-07,2010,Juli,0,0,21,12,0,12,11,7,0,0,0,0,1,1.0,0,5,6,1,0,0.0
2010-06,2010,Juni,0,0,14,4,2,16,12,9,0,0,0,0,2,2.0,1,5,13,0,0,1.0
2010-05,2010,Mai,0,0,2,0,9,20,17,17,0,0,0,2,2,2.0,1,2,22,2,0,17.0
2010-03,2010,März,9,1,0,0,4,15,15,10,5,4,4,0,0,0.0,0,2,15,7,0,27.0
2010-02,2010,Februar,12,6,0,0,9,24,19,12,8,11,2,2,0,0.0,0,0,19,5,1,28.0
2010-01,2010,Januar,24,10,0,0,15,18,17,12,16,18,4,3,0,0.0,0,0,21,1,0,31.0
2009-12,2009,Dezember,12,7,0,0,13,22,21,16,8,6,6,1,0,0.0,0,1,24,5,0,31.0
2009-10,2009,Oktober,1,0,1,0,3,13,13,9,0,0,3,5,0,0.0,0,0,15,1,0,21.0
2009-06,2009,Juni,0,0,9,1,1,16,12,11,0,0,0,1,4,4.0,0,2,7,1,0,0.0
2009-01,2009,Januar,24,10,0,0,7,6,6,4,3,12,14,4,0,0.0,0,6,15,4,1,31.0
