timestamp,abfluss,pegel,temperatur
2026-05-28T00:20:00+02:00,4.219,267.241,20.81
2026-05-28T00:25:00+02:00,4.276,267.243,
2026-05-28T00:30:00+02:00,4.247,267.242,20.78
2026-05-28T00:55:00+02:00,4.19,267.24,
2026-05-28T02:15:00+02:00,4.024,267.234,
2026-05-28T02:30:00+02:00,4.051,267.235,20.24
2026-05-28T02:35:00+02:00,3.996,267.233,
2026-05-28T02:55:00+02:00,3.996,267.233,
2026-05-28T03:05:00+02:00,4.024,267.234,
2026-05-28T03:15:00+02:00,4.079,267.236,
2026-05-28T03:30:00+02:00,4.135,267.238,19.93
2026-05-28T03:50:00+02:00,4.247,267.242,19.82
2026-05-28T03:55:00+02:00,4.276,267.243,
2026-05-28T04:10:00+02:00,4.304,267.244,19.72
2026-05-28T04:25:00+02:00,4.304,267.244,
2026-05-28T04:55:00+02:00,4.447,267.249,
2026-05-28T05:05:00+02:00,4.447,267.249,
2026-05-28T05:10:00+02:00,4.476,267.25,19.38
2026-05-28T05:20:00+02:00,4.476,267.25,19.33
2026-05-28T05:40:00+02:00,4.447,267.249,19.21
2026-05-28T05:55:00+02:00,4.362,267.246,
2026-05-28T06:25:00+02:00,4.333,267.245,
2026-05-28T07:30:00+02:00,4.219,267.241,18.7
2026-05-28T07:40:00+02:00,4.19,267.24,18.67
2026-05-28T07:55:00+02:00,4.162,267.239,
2026-05-28T08:05:00+02:00,4.107,267.237,
2026-05-28T08:10:00+02:00,4.107,267.237,18.59
2026-05-28T08:20:00+02:00,4.051,267.235,18.57
2026-05-28T08:40:00+02:00,3.968,267.232,18.55
2026-05-28T08:55:00+02:00,3.941,267.231,
2026-05-28T09:10:00+02:00,3.941,267.231,18.54
2026-05-28T09:20:00+02:00,3.941,267.231,18.55
2026-05-28T09:45:00+02:00,3.941,267.231,
2026-05-28T09:50:00+02:00,3.913,267.23,18.59
2026-05-28T10:05:00+02:00,3.968,267.232,
2026-05-28T10:35:00+02:00,4.162,267.239,
