date,jahr,gre000d0,hto000d0,nto000d0,prestad0,rre150d0,sre000d0,tre200d0,tre200dn,tre200dx,ure200d0,tre005d0,tre005dn,tre005dx,pva200d0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rka150d0,htoautd0,oli000d0,olo000d0,osr000d0,ods000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0,hns000d0,w1p012d0,w2p001d0,w2p002d0,w3p002d0,w5p002d0,est000d0,nto002d0,nto008d0
1891-05-19,1891,,0,93.0,980.2,12.3,18,9.1,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-05-21,1891,,0,73.0,970.7,18.0,222,15.9,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False
1891-05-25,1891,,0,87.0,979.2,2.7,30,11.0,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-06-05,1891,,0,77.0,981.7,1.7,528,18.0,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-09,1891,,0,70.0,980.2,5.0,78,14.1,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-10,1891,,0,90.0,982.5,0.7,78,14.6,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-06-11,1891,,0,100.0,984.4,0.1,102,13.1,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-06-12,1891,,0,80.0,991.2,0.0,186,11.1,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-06-15,1891,,0,73.0,986.2,21.0,378,16.3,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-17,1891,,0,17.0,992.9,0.0,750,13.7,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
1891-06-21,1891,,0,100.0,983.3,2.3,42,13.6,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True
1891-06-22,1891,,0,60.0,981.8,0.8,408,15.7,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-25,1891,,0,67.0,978.9,6.4,324,20.3,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-26,1891,,0,50.0,982.1,0.0,438,19.9,,,,,,,,,,,,3.5,,12.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-27,1891,,0,23.0,984.9,6.2,516,20.2,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
1891-06-28,1891,,0,7.0,985.9,0.0,732,21.7,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False
1891-07-01,1891,,0,40.0,980.8,0.4,570,26.0,,,,,,,,,,,,2.4,,8.6,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False
