messbeginn,messende,standort,parameter,messwert,messwert_3_dezimalstellen,interventionswert,interventionswert_3_dez,warnwert,warnwert_3_dez,einheit,messmethode
2023-04-25,2023-05-09,ROSEN 3,∑CKW,0.76,0.76,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-04-25,2023-05-09,ROSEN 1,Quecksilber (gasförmig),0.0013,0.0013,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-04-25,2023-05-09,ROSEN 3,Quecksilber (gasförmig),0.0042,0.0042,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-04-25,2023-05-09,ROSEN 4,Quecksilber (gasförmig),0.0013,0.0013,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-04-25,2023-05-09,ROSEN 4,∑Aniline,0.25,0.25,8.0,8.0,4.0,4.0,µg/m3,Aniline Aktivsammler
2023-05-09,2023-05-23,ROSEN 3,Benzol,0.32,0.32,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-05-09,2023-05-23,ROSEN 4,Benzol,0.36,0.36,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-05-09,2023-05-23,ROSEN 3,∑CKW,0.78,0.78,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-05-09,2023-05-23,ROSEN 4,∑CKW,0.77,0.77,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-05-09,2023-05-23,ROSEN 3,Naphthalin,0.05,0.05,10.0,10.0,5.0,5.0,µg/m3,VOC-Passivsammler
2023-05-09,2023-05-23,ROSEN 1,∑Aniline,0.25,0.25,8.0,8.0,4.0,4.0,µg/m3,Aniline Aktivsammler
2023-05-09,2023-05-23,ROSEN 2,∑Aniline,0.25,0.25,8.0,8.0,4.0,4.0,µg/m3,Aniline Aktivsammler
2023-05-09,2023-05-23,ROSEN 4,∑Aniline,0.25,0.25,8.0,8.0,4.0,4.0,µg/m3,Aniline Aktivsammler
2023-05-23,2023-06-06,ROSEN 1,Benzol,0.25,0.25,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 2,∑CKW,0.81,0.81,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 3,∑CKW,0.79,0.79,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 4,∑CKW,0.8,0.8,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 3,Naphthalin,0.05,0.05,10.0,10.0,5.0,5.0,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 4,Naphthalin,0.05,0.05,10.0,10.0,5.0,5.0,µg/m3,VOC-Passivsammler
2023-05-23,2023-06-06,ROSEN 1,Quecksilber (gasförmig),0.0013,0.0013,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-05-23,2023-06-06,ROSEN 2,Quecksilber (gasförmig),0.0013,0.0013,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-06-06,2023-06-20,ROSEN 1,∑CKW,0.81,0.81,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-06-06,2023-06-20,ROSEN 2,∑CKW,0.8,0.8,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-06-06,2023-06-20,ROSEN 4,∑CKW,0.8,0.8,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-06-06,2023-06-20,ROSEN 1,Naphthalin,0.05,0.05,10.0,10.0,5.0,5.0,µg/m3,VOC-Passivsammler
2023-06-20,2023-07-04,ROSEN 2,Benzol,0.28,0.28,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-06-20,2023-07-04,ROSEN 4,Benzol,0.28,0.28,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-06-20,2023-07-04,ROSEN 3,∑CKW,0.83,0.83,5.0,5.0,2.5,2.5,µg/m3,VOC-Passivsammler
2023-06-20,2023-07-04,ROSEN 1,Quecksilber (gasförmig),0.001,0.001,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-06-20,2023-07-04,ROSEN 4,Quecksilber (gasförmig),0.001,0.001,0.035,0.035,0.018,0.018,µg/m3,Hg-Passivsammler
2023-07-04,2023-07-18,ROSEN 2,Benzol,0.19,0.19,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
2023-07-04,2023-07-18,ROSEN 4,Benzol,0.31,0.31,2.0,2.0,1.0,1.0,µg/m3,VOC-Passivsammler
