messbeginn,messende,standort,parameter,messwert,messwert_zahlenformat,3_dezimalstellen_messwert,4_dezimalstellen_messwert,5_dezimalstellen_messwert,interventionswert,interventionswert_3_dez,warnwert,warnwert_3_dez,einheit,messmethode
2023-04-25,2023-05-09,ROSEN 3,PM 10,13,13.0,13.0,13.0,13.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 4,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 3,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 1,Quecksilber,2e-05,2e-05,2e-05,2e-05,2e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 2,Quecksilber,2e-05,2e-05,2e-05,2e-05,2e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 3,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 1,∑PAK,0.0002,0.0002,0.0002,0.0002,0.0002,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 1,Benzo(a)pyren,2e-05,2e-05,2e-05,2e-05,2e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-04-25,2023-05-09,ROSEN 4,Benzo(a)pyren,4e-05,4e-05,4e-05,4e-05,4e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 1,PM 10,10,10.0,10.0,10.0,10.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 2,PM 10,10,10.0,10.0,10.0,10.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 3,PM 10,11,11.0,11.0,11.0,11.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 4,PM 10,11,11.0,11.0,11.0,11.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 1,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 4,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 2,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
