datum,sample_ba_nr,infa_gc_pcr,infb_gc_pcr,rsv_gc_pcr,infa_gc_l,infb_gc_l,rsv_gc_l,infa_gc_l_7_d_median,infb_gc_l_7_d_median,rsv_gc_l_7_d_median,infa_gc_100_000_p,infb_gc_100_000_p,rsv_gc_100_000_p,infa_gc_100_000_p_7_d_median,infb_gc_100_000_p_7_d_median,rsv_gc_100_000_p_7_d_median,infa_gc_pmmov,infb_gc_pmmov,rsv_gc_pmmov,infa_gc_pmmov_7_d_median,infb_gc_pmmov_7_d_median,rsv_gc_pmmov_7_d_median,anz_pos_a_bs,anz_pos_a_h1_bs,anz_pos_a_h1n1_bs,anz_pos_a_h3_bs,anz_pos_b_bs,anz_pos_a_bl,anz_pos_b_bl,anz_pos_all_bl,infa_bs_bl,infb_bs_bl,7t_median_infa,7t_median_infb,kw,kw_anz_pos_rsv_usb
2024-05-19,Ba240059,,,12.4,0.0,0.0,4960.0,0.0,0.0,4960.0,0.0,0.0,109493682064.43488,0.0,0.0,159723039827.375,0.0,0.0,9.059360730593607e-05,0.0,0.0,9.059360730593607e-05,,,,,,1,0,1,1,0,1,0,20,1
2024-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,0
2024-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2
2024-06-04,,,,,,,,-10000.0,-10000.0,-10000.0,,,,-100000000000.0,-100000000000.0,-100000000000.0,,,,-10000.0,-10000.0,-10000.0,,,,,,,,,,,,,23,2
2024-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2
2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0
2024-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0
2024-07-03,,,,,,,,-10000.0,-10000.0,-10000.0,,,,-100000000000.0,-100000000000.0,-100000000000.0,,,,-10000.0,-10000.0,-10000.0,,,,,,,,,,,,,27,0
2024-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,0
2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,1
2024-07-09,,,,,,,,-10000.0,-10000.0,-10000.0,,,,-100000000000.0,-100000000000.0,-100000000000.0,,,,-10000.0,-10000.0,-10000.0,,,,,,,,,,,1,0,28,1
2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1
2024-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1
2024-07-25,,,,,,,,-10000.0,-10000.0,-10000.0,,,,-100000000000.0,-100000000000.0,-100000000000.0,,,,-10000.0,-10000.0,-10000.0,,,,,,0,1,1,0,1,0,0,30,0
2024-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30,0
2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,31,0
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,0
2024-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,0
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,0
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0
2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,0
2024-08-09,,,,,,,,-10000.0,-10000.0,-10000.0,,,,-100000000000.0,-100000000000.0,-100000000000.0,,,,-10000.0,-10000.0,-10000.0,,,,,,,,,,,1,0,32,0
2024-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,33,0
2024-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,33,0
2024-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,34,0
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,0
2024-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0
2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0
2024-08-29,Ba240128,,,80.1,0.0,0.0,32040.0,9000.0,0.0,30520.0,0.0,0.0,740385795299.6555,205668672177.6624,0.0,701547980602.7283,0.0,0.0,3.39946949602122e-05,5.5299539170506915e-06,0.0,2.5906717679798882e-05,,,,,,,,,,,,,35,0
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0
2024-09-03,Ba240130,,,72.2,0.0,0.0,28880.000000000004,0.0,0.0,24840.0,0.0,0.0,685083467396.6881,0.0,0.0,683528875134.8633,0.0,0.0,0.00017216095380029808,0.0,0.0,2.7555723114623867e-05,,,,,,,,,,,,,36,0
2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0
2024-09-05,Ba240131,,,43.0,0.0,0.0,17200.0,0.0,0.0,20800.0,0.0,0.0,446600754850.2778,0.0,0.0,567260384950.6045,0.0,0.0,0.00013129770992366413,0.0,0.0,7.620723059634983e-05,,,,,,,,,,,,,36,0
2024-09-11,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0,,,,1,0,1,0,37,0
2024-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,0
2024-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0
2024-10-03,Ba240143,,,375.0,0.0,0.0,150000.0,0.0,0.0,98800.0,0.0,0.0,3945686103613.375,0.0,0.0,3067336561092.574,0.0,0.0,0.000974025974025974,0.0,0.0,0.0012452583387835186,,,,,,,,,,,,,40,1
2024-10-05,dito wie 7.10.,,,241.0,0.0,0.0,96400.0,0.0,0.0,123200.0,0.0,0.0,2132282174245.2456,0.0,0.0,3945686103613.375,0.0,0.0,0.001623578947368421,0.0,0.0,0.0014344186430759699,,,,,,,,,,,,,40,1
2024-10-06,Ba240144,,,241.0,0.0,0.0,96400.0,0.0,0.0,123200.0,0.0,0.0,2043376937519.4375,0.0,0.0,3038984138929.3105,0.0,0.0,0.001623578947368421,0.0,0.0,0.001623578947368421,,,,,,,,,,,,,40,1
2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,42,0
2024-10-20,dito wie 19.10.,,,93.6,0.0,0.0,37440.0,0.0,0.0,33260.0,0.0,0.0,829404482259.4825,0.0,0.0,834831110889.272,0.0,0.0,0.00047242902208201895,0.0,0.0,0.00047242902208201895,,,,,,,,,,,1,0,42,0
2024-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,43,0
2024-10-24,Ba240152,,,203.0,11280.0,0.0,81200.0,4900.0,0.0,59320.0,386124392875.38055,0.0,2779547934528.4487,122337732147.17659,0.0,1809902837023.755,7.570469798657718e-05,0.0,0.0005449664429530201,3.512544802867383e-05,0.0,0.0005086977325175195,,,,,,,,,,,1,0,43,0
2024-10-28,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0,,,,1,0,1,0,44,0
2024-10-29,Ba240154,,,281.0,0.0,0.0,112400.0,0.0,0.0,74000.0,0.0,0.0,2680995204435.417,0.0,0.0,2091433025275.5815,0.0,0.0,0.0010171945701357467,0.0,0.0,0.000633175355450237,,,,,,,,,,,1,0,44,0
2024-10-30,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0,,,,1,0,1,0,44,0
2024-10-31,Ba240155,,,301.0,0.0,0.0,120400.0,0.0,0.0,89600.0,0.0,0.0,2884618485768.8066,0.0,0.0,2091433025275.5815,0.0,0.0,0.0012444444444444445,0.0,0.0,0.0008251849627929919,,,,,,,,,,,1,0,44,0
2024-11-02,dito wie 3.11.,,,206.0,0.0,0.0,82400.0,0.0,0.0,97400.0,0.0,0.0,1851310006949.537,0.0,0.0,2680995204435.417,0.0,0.0,0.0009104972375690608,0.0,0.0,0.0009638459038524038,,,,,,,,,,,1,0,44,0
2024-11-05,Ba240157,,,41.2,17480.0,0.0,16480.0,0.0,0.0,82400.0,440192989798.3866,0.0,415010324478.1128,0.0,0.0,1848905543887.671,0.00016529550827423169,0.0,0.00015583924349881796,0.0,0.0,0.0009104972375690608,,,,,,,,,,,1,0,45,0
2024-11-07,Ba240158,,,52.5,3155.9999999999995,0.0,21000.0,1577.9999999999998,0.0,51700.0,80318660467.11638,0.0,534439755959.89996,40159330233.55819,0.0,1190470418392.8523,4.950588235294117e-05,0.0,0.0003294117647058824,2.4752941176470584e-05,0.0,0.0006199545011374716,1,0.0,0.0,0.0,0,1,0,1,2,0,1,0,45,0
2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,45,0
2024-11-09,dito wie 10.11.,,,79.1,3688.0,0.0,31639.999999999996,3422.0,0.0,26320.0,85763852424.08302,0.0,735783159082.9681,85763852424.08302,0.0,534439755959.89996,4.063911845730028e-05,0.0,0.0003486501377410468,4.507250040512072e-05,0.0,0.0003390309512234646,,,,,,,,,,,1,0,45,0
2024-11-10,Ba240159,,,79.1,3688.0,0.0,31639.999999999996,3688.0,0.0,26320.0,86249545976.37157,0.0,739950009406.8319,86006699200.2273,0.0,635111457521.4341,4.063911845730028e-05,0.0,0.0003486501377410468,4.507250040512072e-05,0.0,0.0003390309512234646,,,,,,,,,,,1,0,45,0
2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,46,0
2024-11-16,dito wie 17.11.,,,176.0,2660.0,3260.0000000000005,70400.0,2116.0,1630.0000000000002,44840.0,57248689762.67906,70161928055.0127,1515153292967.145,39209313147.67958,70161928055.0127,1277046331527.4775,7.238095238095238e-05,8.870748299319729e-05,0.0019156462585034014,3.375545666454757e-05,3.2581196581196585e-05,0.0006344354821081165,,,,,,,,,,,1,0,46,0
2024-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,47,3
2024-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,48,1
2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,48,1
2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,48,1
2024-11-29,dito wie 30.11.,,,152.0,11520.0,9440.000000000002,60800.0,2560.0,1072.0,39920.0,329819596158.94086,270268835741.35437,1740714535283.299,137753986385.0504,57684481798.73986,1614304527949.8096,0.00011239024390243903,9.209756097560978e-05,0.0005931707317073171,2.5664160401002505e-05,1.07468671679198e-05,0.00039628385831597015,,,,,,1,1,2,1,1,0,1,48,1
2024-11-30,Ba240167,,,152.0,11520.0,9440.000000000002,60800.0,8320.0,5792.000000000001,60400.0,276591639821.9997,226651482631.91644,1459789210171.665,276591639821.9997,226651482631.91644,1614304527949.8096,0.00011239024390243903,9.209756097560978e-05,0.0005931707317073171,8.185928235222202e-05,5.6795647655724685e-05,0.0005931707317073171,1,0.0,0.0,0.0,0,,,,1,0,0,1,48,1
2024-12-01,Ba240168,,,109.0,8080.0,8559.999999999998,43600.0,9800.0,9000.0,60400.0,190595041639.63,201917519360.7961,1028458393005.9243,233593340730.81485,214284500996.35626,1537046869060.7373,8.460732984293194e-05,8.963350785340312e-05,0.00045654450261780103,9.849878687268548e-05,9.086553441450644e-05,0.0005931707317073171,1,0.0,0.0,0.0,0,,,,1,0,1,0,48,1
