startzeitpunkt,endezeitpunkt,rus_w_o_ms_tr
2026-05-19T01:00:00+02:00,2026-05-19T02:00:00+02:00,4.1
2026-05-19T03:00:00+02:00,2026-05-19T04:00:00+02:00,4.0
2026-05-19T04:00:00+02:00,2026-05-19T05:00:00+02:00,4.1
2026-05-19T05:00:00+02:00,2026-05-19T06:00:00+02:00,4.4
2026-05-19T07:00:00+02:00,2026-05-19T08:00:00+02:00,4.6
2026-05-19T09:00:00+02:00,2026-05-19T10:00:00+02:00,3.4
2026-05-19T11:00:00+02:00,2026-05-19T12:00:00+02:00,3.6
2026-05-19T21:00:00+02:00,2026-05-19T22:00:00+02:00,3.8
2026-05-17T22:00:00+02:00,2026-05-17T23:00:00+02:00,4.5
2026-05-17T23:00:00+02:00,2026-05-18T00:00:00+02:00,4.5
2026-05-18T02:00:00+02:00,2026-05-18T03:00:00+02:00,4.5
2026-05-18T05:00:00+02:00,2026-05-18T06:00:00+02:00,4.7
2026-05-18T11:00:00+02:00,2026-05-18T12:00:00+02:00,3.3
2026-05-18T12:00:00+02:00,2026-05-18T13:00:00+02:00,3.3
2026-05-18T13:00:00+02:00,2026-05-18T14:00:00+02:00,3.4
2026-05-18T14:00:00+02:00,2026-05-18T15:00:00+02:00,3.4
2026-05-18T16:00:00+02:00,2026-05-18T17:00:00+02:00,3.9
2026-05-18T18:00:00+02:00,2026-05-18T19:00:00+02:00,5.5
2024-08-30T00:00:00+02:00,2024-08-30T01:00:00+02:00,7.5
2024-08-30T03:00:00+02:00,2024-08-30T04:00:00+02:00,7.4
