startzeit,endzeit,messstelle,messwert,messstationid,indikator
2025-09-17T13:00:00+00:00,2025-09-17T14:00:00+00:00,"Konstanz, Wallgutstrasse",3.98,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-17T22:00:00+00:00,2025-09-17T23:00:00+00:00,"Konstanz, Wallgutstrasse",5.44,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-17T23:00:00+00:00,2025-09-18T00:00:00+00:00,"Konstanz, Wallgutstrasse",5.0,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T00:00:00+00:00,2025-09-18T01:00:00+00:00,"Konstanz, Wallgutstrasse",7.75,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,"Konstanz, Wallgutstrasse",12.61,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T09:00:00+00:00,2025-09-18T10:00:00+00:00,"Konstanz, Wallgutstrasse",11.23,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T11:00:00+00:00,2025-09-18T12:00:00+00:00,"Konstanz, Wallgutstrasse",13.9,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T12:00:00+00:00,2025-09-18T13:00:00+00:00,"Konstanz, Wallgutstrasse",17.81,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T16:00:00+00:00,2025-09-18T17:00:00+00:00,"Konstanz, Wallgutstrasse",12.18,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T18:00:00+00:00,2025-09-18T19:00:00+00:00,"Konstanz, Wallgutstrasse",10.18,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T22:00:00+00:00,2025-09-18T23:00:00+00:00,"Konstanz, Wallgutstrasse",12.6,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T23:00:00+00:00,2025-09-19T00:00:00+00:00,"Konstanz, Wallgutstrasse",10.96,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T00:00:00+00:00,2025-09-19T01:00:00+00:00,"Konstanz, Wallgutstrasse",9.44,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T04:00:00+00:00,2025-09-19T05:00:00+00:00,"Konstanz, Wallgutstrasse",8.9,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T11:00:00+00:00,2025-09-19T12:00:00+00:00,"Konstanz, Wallgutstrasse",18.88,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T18:00:00+00:00,2025-09-19T19:00:00+00:00,"Konstanz, Wallgutstrasse",14.16,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T19:00:00+00:00,2025-09-19T20:00:00+00:00,"Konstanz, Wallgutstrasse",15.7,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T20:00:00+00:00,2025-09-19T21:00:00+00:00,"Konstanz, Wallgutstrasse",16.72,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-19T21:00:00+00:00,2025-09-19T22:00:00+00:00,"Konstanz, Wallgutstrasse",20.75,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
2025-09-18T00:00:00+00:00,2025-09-18T01:00:00+00:00,"Konstanz, Wallgutstrasse",11.31,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T01:00:00+00:00,2025-09-18T02:00:00+00:00,"Konstanz, Wallgutstrasse",9.82,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T11:00:00+00:00,2025-09-18T12:00:00+00:00,"Konstanz, Wallgutstrasse",8.45,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T12:00:00+00:00,2025-09-18T13:00:00+00:00,"Konstanz, Wallgutstrasse",15.72,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T14:00:00+00:00,2025-09-18T15:00:00+00:00,"Konstanz, Wallgutstrasse",16.41,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T18:00:00+00:00,2025-09-18T19:00:00+00:00,"Konstanz, Wallgutstrasse",18.46,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T21:00:00+00:00,2025-09-18T22:00:00+00:00,"Konstanz, Wallgutstrasse",43.11,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T23:00:00+00:00,2025-09-19T00:00:00+00:00,"Konstanz, Wallgutstrasse",19.17,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T07:00:00+00:00,2025-09-19T08:00:00+00:00,"Konstanz, Wallgutstrasse",22.9,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T12:00:00+00:00,2025-09-19T13:00:00+00:00,"Konstanz, Wallgutstrasse",7.88,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T14:00:00+00:00,2025-09-19T15:00:00+00:00,"Konstanz, Wallgutstrasse",9.35,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T17:00:00+00:00,2025-09-19T18:00:00+00:00,"Konstanz, Wallgutstrasse",10.29,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T20:00:00+00:00,2025-09-19T21:00:00+00:00,"Konstanz, Wallgutstrasse",35.92,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-19T21:00:00+00:00,2025-09-19T22:00:00+00:00,"Konstanz, Wallgutstrasse",39.1,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickstoffdioxid
2025-09-18T01:00:00+00:00,2025-09-18T02:00:00+00:00,"Konstanz, Wallgutstrasse",5.6,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T03:00:00+00:00,2025-09-18T04:00:00+00:00,"Konstanz, Wallgutstrasse",5.51,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T04:00:00+00:00,2025-09-18T05:00:00+00:00,"Konstanz, Wallgutstrasse",7.18,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T05:00:00+00:00,2025-09-18T06:00:00+00:00,"Konstanz, Wallgutstrasse",11.7,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,"Konstanz, Wallgutstrasse",26.95,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T08:00:00+00:00,2025-09-18T09:00:00+00:00,"Konstanz, Wallgutstrasse",10.87,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T10:00:00+00:00,2025-09-18T11:00:00+00:00,"Konstanz, Wallgutstrasse",6.32,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T13:00:00+00:00,2025-09-18T14:00:00+00:00,"Konstanz, Wallgutstrasse",6.42,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T14:00:00+00:00,2025-09-18T15:00:00+00:00,"Konstanz, Wallgutstrasse",10.68,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T15:00:00+00:00,2025-09-18T16:00:00+00:00,"Konstanz, Wallgutstrasse",6.29,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T17:00:00+00:00,2025-09-18T18:00:00+00:00,"Konstanz, Wallgutstrasse",12.24,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
2025-09-18T19:00:00+00:00,2025-09-18T20:00:00+00:00,"Konstanz, Wallgutstrasse",15.81,9fc10577-4551-49aa-9ebc-2a882720c0ac,Stickoxide
