obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
23046042,2025-11-15T23:00:00+00:00,13.35,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-11-17T23:00:00+00:00,13.35,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-11-19T23:00:00+00:00,13.21,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-11-23T23:00:00+00:00,13.2,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-11-26T23:00:00+00:00,12.81,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-11-30T23:00:00+00:00,12.33,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-02T23:00:00+00:00,12.11,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-07T23:00:00+00:00,11.91,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-09T23:00:00+00:00,11.62,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-15T23:00:00+00:00,10.94,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-22T23:00:00+00:00,10.83,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-24T23:00:00+00:00,10.84,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2025-12-25T23:00:00+00:00,10.87,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-01T23:00:00+00:00,10.84,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-05T23:00:00+00:00,10.7,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-08T23:00:00+00:00,10.68,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-12T23:00:00+00:00,10.46,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-15T23:00:00+00:00,10.24,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-01-28T23:00:00+00:00,9.47,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-02-06T23:00:00+00:00,9.19,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-02-07T23:00:00+00:00,9.13,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-02-08T23:00:00+00:00,9.33,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-02-11T23:00:00+00:00,8.91,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
23046042,2026-02-14T23:00:00+00:00,8.73,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,PW Pfyn
