datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2017-03-29,2017-12-20,16/VI 2/89,89,"Thurgauische Volksinitiative ""Verbot der Baujagd mit Hunden""",Volksinitiative,,"Initiativen, Referenden",,,Abgeschlossen,Staatskanzlei,,,,
2017-04-19,2017-06-28,16/BS 11/93,93,Geschäftsbericht 2016 der Gebäudeversicherung Thurgau sowie Eigentümerstrategie,Beschluss,,"TGV, Feuerversicherung",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2017-03-29,2017-06-14,16/EA 29/95,95,"Einfache Anfrage von Elisabeth Rickenbach vom 29. März 2017 ""Schwarze Lungen lassen sich nicht einfach wegwaschen""",Einfache Anfrage,,"Heilmittel, Betäubungsmittel, Suchtprobleme",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2017-04-19,2017-08-16,16/BS 12/96,96,Rechenschaftsbericht 2016 des Verwaltungsgerichts,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2017-04-19,2018-09-12,16/IN 9/105,105,"Interpellation von Marianne Sax vom 19. April 2017 ""Tempo 30 auf Kantonsstrassen innerorts""",Interpellation,,"Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,Abgeschlossen,Departement für Bau und Umwelt,1,33,34,
2017-04-19,2017-06-28,16/EA 30/107,107,"Einfache Anfrage von Peter Dransfeld vom 19. April 2017 ""Harmonisierte Baubegriffe in der Sackgasse?""",Einfache Anfrage,,"Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2017-04-19,2017-06-28,16/EA 31/108,108,"Einfache Anfrage von Mathias Tschanen vom 19. April 2017 ""Stand Vorgehen Kantonaler Richtplan""",Einfache Anfrage,,"Raumplanung, Richtpläne",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2017-04-19,2017-06-28,16/EA 32/109,109,"Einfache Anfrage von David Zimmermann und Hanspeter Gantenbein vom 19. April 2017 ""Bund schlägt Studie in den Wind""",Einfache Anfrage,,"Andere Energien: Gas, Fernwärme, Solarenergie etc.",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,,,
2017-05-03,2018-05-02,16/MO 6/110,110,"Motion von Hanspeter Gantenbein, Walter Marty, Hermann Lei und Pascal Schmid vom 3. Mai 2017 ""Einführung eines bargeldlosen Zahlungssystems zur Bekämpfung des Missbrauchs von Sozialhilfegeldern durch Asylsuchende und andere Bezüger""",Motion,,"Fürsorge, Massnahmen, Kinderheime, Heimaufsicht",,,Abgeschlossen,Departement für Finanzen und Soziales,4,55,59,
2017-05-03,2018-02-14,16/IN 11/112,112,"Interpellation von Kurt Egger, Peter Dransfeld, Daniel Eugster und Josef Gemperle vom 3. Mai 2017 ""Gute Alternativen zu Minergie-P""",Interpellation,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,4,75,79,
