nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
363,Martin,Oliver,Leimbach,SVP,"Motion von Heinz Keller, Oliver Martin, Jürg Wiesli und Hermann Lei vom 4. Oktober 2021 'Kostenlose Coronatests im Kanton Thurgau'",20/MO 21/226,
316,Peter Köstli,Sabina,,Die Mitte,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
265,Mader,Christian,,EDU,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
416,Fritschi,Manuela,,FDP,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
359,Hauser,Cornelia,,GRÜNE,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
114,Tobler,Stephan,Roggwil,SVP,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Stephan Tobler vom 11. Juni 2008 'Bericht über das Sozialwesen im Kanton Thurgau',08/AN 1/13,
,Markstaller,Peter,Kreuzlingen,FDP,Interpellation von Peter Markstaller vom 11. Juni 2008 'Nutzung im Thurgau vorhandenen Know-hows und Pflege der hier ansässigen Wirtschaft',08/IN 2/15,
,Schnyder,Fabienne,Zuben,SVP,"Einfache Anfrage Fabienne Schnyder betreffend Wireless LAN an Volks-, Mittel- und Hochschulen",08/EA 2/18,
,Wälti,Bernhard,Freidorf,SP,Interpellation von Dr. Berhnard Wälti und Ernst Ritzi vom 2. Juli 2008 'Mehr Transparenz bei Parteispenden',08/IN 7/29,
,Wälti,Bernhard,Freidorf,SP,Interpellation Dr. Bernhard Wälti zur Infrastruktur in den Rathäusern,08/IN 9/35,
,Knöpfli,Walter,Kesswil,SVP,Interpellation von Walter Knöpfli vom 27. August 2008 'Verleihungsgebühren gemäss Paragraph 17 des Wassernutzungsgesetzes',08/IN 10/38,
,Frei,Markus,Uesslingen,GLP,"Interpellation von Thomas Böhni, Cäcilia Bosshard, Markus Frei und Josef Gemperle vom 29. September 2008 'Verwendung 'Kantonaler Energiefördergelder' zur Anschubfinanzierung 100 % erneuerbar versorgter Gemeinden'",08/IN 13/48,
,Gemperle,Josef,Fischingen,CVP,Interpellation von Josef Gemperle vom 17. Dezember 2008 'Wärmeverbunde bei kantonalen Bauten',08/IN 19/70,
,Möckli,Max,Schlatt,FDP,Interpellation von Max Möckli vom 25. Februar 2009 'Schwerverkehrskontrollen im Kanton Thurgau',08/IN 23/91,
,Martin,Urs,Oberaach,SVP,Einfache Anfrage Urs Martin zu den Defiziten des 'kooperativen Föderalismus',08/EA 26/93,
,Oberholzer,Susanne,Frauenfeld,SP,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Susanne Oberholzer und Renate Bruggmann vom 25. März 2009 'Ausarbeitung eines Integrationskonzepts für Ausländerinnen und Ausländer',08/AN 5/104,
,Badraun,Daniel,Schlattingen,SP,Einfache Anfrage von Daniel Badraun vom 25. März 2009 'Konzept betreffend Amoklauf an Thurgauer Schulen',08/EA 33/106,
,Gubser,Peter,Arbon,SP,Einfache Anfrage Peter Gubser zu den ausgebliebenen Konsequenzen bei der Führung des EKT,08/EA 34/107,
,Hugentobler,Walter,Matzingen,SP,"Interpellation der SP-Fraktion, vertreten durch Walter Hugentobler und Susanne Oberholzer, vom 6. Mai 2009 'Massnahmen gegen den Lehrstellenmangel (Jugendarbeitslosigkeit I)'",08/IN 25/121,
,Wittwer,Daniel,Sitterdorf,EDU,Motion von Daniel Wittwer vom 1. Juli 2009 'Informationspflicht des Bankrates',08/MO 19/144,
,Wälti,Bernhard,Freidorf,SP,Einfache Anfrage von Dr. Bernhard Wälti vom 28. September 2009 'Hochstapler und Pauschalbesteuerung',08/EA 50/160,
,Wälti,Bernhard,Freidorf,SP,"Motion von Dr. Bernhard Wälti, Susanne Oberholzer, Isabella Stäheli, Dr. Marlies Näf, Norbert Senn, August Krucker und Daniel Wittwer vom 2. Dezember 2009 'Einreichung einer Standesinitiative betreffend Grundversorger'",08/MO 26/175,
,Wittwer,Daniel,Sitterdorf,EDU,"Motion von Dr. Bernhard Wälti, Susanne Oberholzer, Isabella Stäheli, Dr. Marlies Näf, Norbert Senn, August Krucker und Daniel Wittwer vom 2. Dezember 2009 'Einreichung einer Standesinitiative betreffend Grundversorger'",08/MO 26/175,
,Vonlanthen,Andrea,Arbon,SVP,Interpellation von Andrea Vonlanthen vom 13. Januar 2010 'Sicherheit im Thurgau mit Schengen',08/IN 35/188,
,Gubser,Peter,Arbon,SP,Einfache Anfrage von Peter Gubser vom 13. Januar 2010 'Zu den BMS-Vorbereitungskursen',08/EA 56/191,
140,Schallenberg,Turi,Bürglen,SP,"Motion von Roland Kuttruff, Kurt Baumann, Silvia Schwyter, Martin Klöti, Turi Schallenberg und Daniel Wittwer vom 3. März 2010 'Umsetzungstermin des Auszahlungsmodus der Prämienverbilligung'",08/MO 29/205,
,Thorner,Christa,Frauenfeld,SP,Interpellation von Christa Thorner und Dr. Bernhard Wälti vom 31. März 2010 'Rauschtrinken im Thurgau',08/IN 38/218,
